exp_id,algorithm,algorithm_name,num_cameras,num_classes,frequency,energy_capacity,recharge_rate,accuracy_threshold,duration,run,runtime,overall_accuracy,recent_accuracy,accuracy_std,accuracy_improvement,energy_violations,accuracy_violations,avg_energy,min_energy_ever,energy_variance,energy_sustainability,avg_cameras_per_event,total_classifications,successful_classifications,classification_rate,jains_fairness,participation_variance,max_participation,min_participation,gini_coefficient,convergence_time,stability_score,adaptation_rate,avg_collective_accuracy,accuracy_consistency,response_time_avg
9,random,Random,10,3,0.05,1000,10,0.7,2000,0,0.02591562271118164,0.4594594594594595,0.45,0.0,0.0,0,0,972.1638415530126,950.0,25.0,1.0,3.4,111,51,0.0555,0.990206782464847,11.84,42,29,0.0537572254335259,-1.0,0.8035263327058175,0.0,0.9790326721169188,0.0,0.0
10,random,Random,10,3,0.05,1000,10,0.7,2000,1,0.024224281311035156,0.42105263157894735,0.43,0.0,0.0,0,0,985.0,950.0,11.314503966951785,1.0,3.0,114,48,0.057,0.9854770318021201,16.44,41,26,0.06407185628742496,-1.0,0.8062286925274117,0.0,0.9824749838251581,0.0,0.0
12,greedy,Greedy-Energy,10,3,0.05,1000,10,0.7,2000,0,0.014993667602539062,0.37894736842105264,0.37894736842105264,0.0,0.0,0,0,995.0,950.0,0.0,1.0,1.0,95,36,0.0475,0.144515612489992,534.25,78,0,0.851578947368421,-1.0,0.0,0.0,0.9089717898486958,0.0,0.0
13,greedy,Greedy-Energy,10,3,0.05,1000,10,0.7,2000,1,0.013240337371826172,0.5142857142857142,0.5,0.0,0.0,0,0,995.0,950.0,0.0,1.0,1.0,105,54,0.0525,0.16438049798717758,560.45,79,0,0.8409523809523809,-1.0,0.800597779675491,0.0,0.908971789848696,0.028174684192449728,0.0
14,greedy,Greedy-Energy,10,3,0.05,1000,10,0.7,2000,2,0.011482954025268555,0.5119047619047619,0.5119047619047619,0.0,0.0,0,0,995.0,950.0,0.0,1.0,1.0,84,43,0.042,0.14955489614243322,401.23999999999995,67,0,0.8547619047619046,-1.0,0.0,0.0,0.9089717898486958,0.02353270812944097,0.0
15,round_robin,Round-Robin,10,3,0.05,1000,10,0.7,2000,0,0.013184070587158203,0.5145631067961165,0.52,0.0,0.0,0,0,985.0,950.0,0.008951594908032875,1.0,3.0,103,53,0.0515,0.9999057492931197,0.09,31,30,0.002912621359223211,-1.0,0.8011108737449263,0.0,0.9992457279579318,0.028714137642736004,0.0
16,round_robin,Round-Robin,10,3,0.05,1000,10,0.7,2000,1,0.017717361450195312,0.3644859813084112,0.38,0.0,0.0,0,0,985.0,950.0,0.0,1.0,3.0,107,39,0.0535,0.9999126637554585,0.08999999999999998,33,32,0.002803738317756821,-1.0,0.8092797410304828,0.0,0.999245727957932,0.0,0.0
19,coverage,Coverage,10,3,0.05,1000,10,0.7,2000,1,0.011012554168701172,0.46987951807228917,0.46987951807228917,0.0,0.0,0,0,995.0,950.0,0.0,1.0,1.0,83,39,0.0415,0.1,620.0100000000001,83,0,0.8999999999999999,-1.0,0.0,0.0,0.9089717898486959,0.0,0.0
17,round_robin,Round-Robin,10,3,0.05,1000,10,0.7,2000,2,0.021651029586791992,0.4742268041237113,0.4742268041237113,0.0,0.0,0,0,985.0,950.0,0.0,1.0,3.0,97,46,0.0485,0.999893730074389,0.08999999999999998,30,29,0.003092783505154628,-1.0,0.0,0.0,0.9992457279579321,0.0,0.0
18,coverage,Coverage,10,3,0.05,1000,10,0.7,2000,0,0.020772933959960938,0.43243243243243246,0.41,0.0,0.0,0,0,995.0,900.982758114003,6.006725005275849,1.0,1.0,111,48,0.0555,0.1,1108.8899999999999,111,0,0.8999999999999999,-1.0,0.8110863922877272,0.0,0.9089717898486958,0.0,0.0
20,coverage,Coverage,10,3,0.05,1000,10,0.7,2000,2,0.01629328727722168,0.3904761904761905,0.4,0.0,0.0,0,0,995.0,947.7941988662678,0.012163896603935272,1.0,1.0,105,41,0.0525,0.1,992.25,105,0,0.8999999999999999,-1.0,0.803557079337869,0.0,0.908971789848696,0.0,0.0
21,threshold,Threshold,10,3,0.05,1000,10,0.7,2000,0,0.020345687866210938,0.39759036144578314,0.39759036144578314,0.0,0.0,0,0,950.0,950.0,0.0,1.0,10.0,83,33,0.0415,1.0,0.0,83,83,0.0,-1.0,0.0,0.0,0.9999999999609376,0.0,0.0
22,threshold,Threshold,10,3,0.05,1000,10,0.7,2000,1,0.026098966598510742,0.3333333333333333,0.3333333333333333,0.0,0.0,0,0,950.0,950.0,0.0,1.0,10.0,99,33,0.0495,1.0,0.0,99,99,0.0,-1.0,0.0,0.0,0.9999999999609377,0.0,0.0
